备案号,药品通用名称,药品批准文号,上市许可持有人,上市许可持有人地址,生产企业名称,生产企业地址,代理机构,代理机构地址,备案内容,备案日期,备案机关,备注,注
国备2025000268,中文：人血白蛋白;英文/拉丁文：Human Albumin,国药准字SJ20247007,中文名称：/;英文名称：Baxalta US Inc,"300 Shire Way, Lexington, MA 02421 US",中文名称：/;英文名称：Baxalta US Inc.,"300 Shire Way, Lexington, MA 02421 US",武田（中国）国际贸易有限公司,中国（上海）自由贸易试验区美盛路56号2层220室,"根据《中国药典》三部（2020年版）人血白蛋白“3.3.3.3纯度”，将本品注册标准“纯度”项更新为“按《中国药典》三部（2020年版）通则0541第二法《醋酸纤维素薄膜电泳法》或第三法《琼脂糖凝胶电泳法》进行，白蛋白含量应不低于蛋白质总量的96%”，其它内容不变。涉及规格为：10g/袋(20%, 50ml)、12.5g/袋（25%，50ml)、25g/袋（25%，100ml)。",2025-02-26,国家药品监督管理局药品审评中心,已备案
国备2025000605,中文：氯沙坦钾片;英文/拉丁文：Losartan Potassium Tablets,国药准字HJ20171245,中文名称：不适用;英文名称：Organon Pharma (UK) Limited,"The Hewett Building, 14 Hewett Street, London,EC2A 3NP，United Kingdom",中文名称：不适用;英文名称：Organon Pharma (UK) Limited,"Shotton Lane, Cramlington, Northumberland,NE23 3JU，United Kingdom",欧加隆（上海）医药科技有限公司,中国（上海）自由贸易试验区东育路255弄4号A栋5层503单元（名义楼层，实际楼层4层）,依照近期发布的《美国药典》的更新，并为与《中国药典》2020年版中的氯沙坦钾原料药的各论保持一致，申请变更氯沙坦钾原料药企业内部质量标准中的部分检验项目和检验方法。,2025-03-29,国家药品监督管理局药品审评中心,已备案
国备2025000604,中文：氯沙坦钾片;英文/拉丁文：Losartan Potassium Tablets,国药准字HJ20202003,中文名称：不适用;英文名称：Organon Pharma (UK) Limited,"The Hewett Building, 14 Hewett Street, London, EC2A 3NP,United Kingdom",中文名称：不适用;英文名称：Organon Pharma (UK) Limited,"Shotton Lane, Cramlington, Northumberland, NE23 3JU,United Kingdom",欧加隆（上海）医药科技有限公司,中国（上海）自由贸易试验区东育路255弄4号A栋5层503单元（名义楼层，实际楼层4层）,依照近期发布的《美国药典》的更新，并与《中国药典》2020年版中的氯沙坦钾原料药的各论保持一致，申请变更氯沙坦钾原料药企业内部质量标准中的部分检验项目和检验方法。,2025-03-29,国家药品监督管理局药品审评中心,已备案
国备2025000425,中文：注射用盐酸替拉凡星;英文/拉丁文：Telavancin Hydrochloride for Injection,2025S00427,中文名称：/;英文名称：Cumberland Pharmaceuticals Inc.,"1600 West End Avenue, Suite 1300, Nashville, TN 37203 United States of America","中文名称：/;英文名称：Samsung Biologics Co., Ltd.","300, Songdo bio-daero,Yeonsu-gu, Incheon, Incheon 21987 KOREA, SOUTH",赛生医药（中国）有限公司,上海市黄浦区淮海中路381号2201-2210室,"1. 变更包装规格1瓶/盒。
2. 在包装标签添加英文注册商标""VIBATIV"", 中文注册商标""泰聚信""。",2025-03-12,国家药品监督管理局药品审评中心,已备案
Y国备2025000733,中文：硫酸钠;英文/拉丁文：Sodium Sulfate,Y20210000825,"中文名称：/;英文名称：Takasugi Pharmaceutical Co,Ltd","2-7-26 Yoshizuka,Hakata-ku,Fukuoka City,Fukuoka ,Japan","中文名称：/;英文名称：Takasugi Pharmaceutical Co,Ltd","2617,Nakabaru,Kasuya-machi,Kasuya-gun,Fukuoka 811-2304,Japan",深圳万和制药有限公司,深圳市光明新区凤凰街道汇通路7号万和科技大厦,"本品有效期由原12个月变更为18个月,标签及质量标准作相应修订。",2025-04-10,国家药品监督管理局药品审评中心,已备案
国备2025000252,中文：泮托拉唑钠肠溶片;英文/拉丁文：Pantoprazole Sodium Enteric-Coated Tablets,国药准字HJ20200064,中文名称：---;英文名称：Aurobindo Pharma Limited,Unit-VII， SEZ， TSIIC， Plot No. S1， Survey No’s： 411/P， 425/P， 434/P， 435/P & 458/P， Green Industrial Park， Polepally Village， Jedcherla Mandal， Mahaboobnagar District， Telangana State， India.,中文名称：---;英文名称：Aurobindo Pharma Limited,Unit-VII， SEZ， TSIIC， Plot No. S1， Survey No’s： 411/P， 425/P， 434/P， 435/P & 458/P， Green Industrial Park， Polepally Village， Jedcherla Mandal， Mahaboobnagar District， Telangana State， India.,阿乐滨度（上海）贸易有限公司,上海市长宁区仙霞路319号1401室,增加本品境内分包装用大包装规格：“10片/板，1120板/箱”。,2025-02-25,国家药品监督管理局药品审评中心,已备案
国备2025000253,中文：泮托拉唑钠肠溶片;英文/拉丁文：Pantoprazole Sodium Enteric-Coated Tablets,国药准字 HJ20200063,中文名称：---;英文名称：Aurobindo Pharma Limited,Unit-VII， SEZ， TSIIC， Plot No. S1， Survey No’s： 411/P， 425/P， 434/P， 435/P & 458/P， Green Industrial Park， Polepally Village， Jedcherla Mandal， Mahaboobnagar District， Telangana State， India.,中文名称：---;英文名称：Aurobindo Pharma Limited,Unit-VII， SEZ， TSIIC， Plot No. S1， Survey No’s： 411/P， 425/P， 434/P， 435/P & 458/P， Green Industrial Park， Polepally Village， Jedcherla Mandal， Mahaboobnagar District， Telangana State， India.,阿乐滨度（上海）贸易有限公司,上海市长宁区仙霞路319号1401室,增加境内分包装用大包装规格：“10片/板，1120板/箱”和“7片/板，1120板/箱”。,2025-02-25,国家药品监督管理局药品审评中心,已备案
Y国备2025000913,中文：盐酸特拉唑嗪;英文/拉丁文：Terazosin Hydrochloride,Y20170001654,中文名称：无;英文名称：Teva Pharmaceutical Industries Ltd.,"124 Dvora HaNevi'a Street, Tel Aviv – Jaffa 6944020, Israel",中文名称：无;英文名称：ASSIA CHEMICAL INDUSTRIES LTD.,"Teva Tech site: Neot Hovav Eco-Ind. Park, Be'er Sheva, 8412316, Israel",泰佩（北京）医药科技有限公司,北京市朝阳区建国路91号院9号楼8层807单元,变更代理机构。,2025-04-30,国家药品监督管理局药品审评中心,已备案
国备2025000296,中文：醋酸戈舍瑞林缓释植入剂;英文/拉丁文：Goserelin Acetate Sustained-Release Depot,国药准字HJ20160259,中文名称：/;英文名称：AstraZeneca UK Limited,"1 FRANCIS CRICK AVENUE, CAMBRIDGE, CB2 0AA, UNITED KINGDOM",中文名称：/;英文名称：AstraZeneca UK Limited,"SILK ROAD BUSINESS PARK, MACCLESFIELD,CHESHIRE, SK10 2NA, UNITED KINGDOM",阿斯利康投资（中国）有限公司,中国（上海）自由贸易试验区亮景路199号,对醋酸戈舍瑞林缓释植入剂使用的原料药生产工艺进行改进以保护操作员，同时合并批量变更。新增原料药质量控制检验场地。此外，更新原料药内控标准和分析方法。原料药合成路径，原材料及生产使用的试剂或溶剂无变更。,2025-02-28,国家药品监督管理局药品审评中心,已备案
国备2025000322,中文：注射用头孢洛生他唑巴坦钠;英文/拉丁文：Ceftolozane Sulfate and Tazobactam Sodium for Injection,国药准字HJ20250016,中文名称：----;英文名称：Merck Sharp & Dohme B.V.,"Waarderweg 39, 2031 BN Haarlem, The Netherlands","中文名称：----;英文名称：Steri-Pharma, LLC","429 S. West Street Syracuse, NY 13202, U.S.A.",默沙东研发（中国）有限公司,北京市朝阳区容达路21号楼L2-13层,"1.新增用于生产头孢洛生制剂中间体的过滤器。新过滤器滤过参数与原过滤器相比无显著性差异，质量与原过滤器可比，研究和验证证明新增过滤器对头孢洛生制剂中间体和制剂质量无影响。
2.更正头孢洛生制剂中间体生产过程使用的原过滤器滤膜孔径从0.22μm为0.2μm，此更正为编辑类更新，实际不涉及任何变更。
以上两个变更在生产工艺信息表中相应更新。",2025-03-01,国家药品监督管理局药品审评中心,经审查，请按照要求完善申报资料和备案内容后重新提交备案申请。
国备2025000626,中文：人血白蛋白;英文/拉丁文：Human Albumin,国药准字SJ20190036,中文名称：/;英文名称：Grifols Therapeutics LLC,"79 T.W. Alexander Drive 4101 Research Commons, Research Triangle Park, NC 27709, USA",中文名称：/;英文名称：Grifols Therapeutics LLC,"8368 Clayton Blvd, Clayton, NC 27520, USA",基立福医药科技（上海）有限公司,上海市静安区南京西路1515号北楼11层1101、1102、1103、1104、1105、 1106、 1107、1108、1109、1110室 (实际楼层10层),"由于街道名称的变化，生产地址从“8368 US 70 Business Hwy West, Clayton, NC 27520, USA”更新为“8368 Clayton Blvd, Clayton, NC 27520, USA”，并未涉及物理地址改变，说明书小盒标签作相应更新，另外，按照“国家药监局关于修订人血白蛋白注射剂说明书的公告（2025年第5号）”相关要求，更新本品说明书【不良反应】相关内容。",2025-04-01,国家药品监督管理局药品审评中心,已备案
国备2025000520,中文：利伐沙班片;英文/拉丁文：Rivaroxaban Tablets,国药准字HJ20200024,中文名称：/;英文名称：Bayer AG,"51368 Leverkusen, Germany",中文名称：/;英文名称：Bayer AG,"Kaiser-Wilhelm-Allee, 51368 Leverkusen, Germany",拜耳医药保健有限公司,北京市北京经济技术开发区荣京东街7号,根据已获国家药品监督管理局批准的按照欧洲药典各论<3021>更新利伐沙班片的药品注册标准，对本品进口分包装药品的说明书和标签中【性状】、【贮藏】、【执行标准】项进行相应的修订并备案。,2025-03-21,国家药品监督管理局药品审评中心,已备案
国备2025000377,中文：香松通络油;英文/拉丁文：无,ZC20100014,中文名称：岭南药厂（香港）有限公司;英文名称：LING NAM MEDICINE FACTORY (H.K) LIMITED,新界屯门新安街18号怡华工业大厦13楼B座，19楼B座，20楼B座,中文名称：岭南药厂（香港）有限公司;英文名称：LING NAM MEDICINE FACTORY (H.K) LIMITED,新界屯门新安街18号怡华工业大厦13楼B座，19楼B座，20楼B座,广东富晖药业有限公司,广州市天河区黄埔大道西76号1902房、1903房,跨境委托粤澳药业有限公司为香松通络油40ml境内生产企业。,2025-03-06,国家药品监督管理局药品审评中心,已备案
国备2025000395,中文：人血白蛋白;英文/拉丁文：Human Albumin,国药准字SJ20140106,"中文名称：/;英文名称：Instituto Grifols, S.A.","Can Guasch,2,Pol.Ind.Levante,08150 Parets del Valles(BARCELONA),ESPANA/SPAIN","中文名称：/;英文名称：Instituto Grifols, S.A.","Can Guasch,2,Pol.Ind.Levante,08150 Parets del Valles(BARCELONA),ESPANA/SPAIN",基立福医药科技（上海）有限公司,上海市静安区南京西路1515号北楼11层1101、1102、1103、1104、1105、 1106、1107、1108、1109、1110室 (实际楼层10层),按照“国家药监局关于修订人血白蛋白注射剂说明书的公告（2025年第5号）”相关要求，更新本品说明书【不良反应】相关内容。,2025-03-07,国家药品监督管理局药品审评中心,已备案
Y国备2025000259,中文：吡嗪酰胺;英文/拉丁文：Pyrazinamide,Y20210000040,中文名称：ANUH PHARMA LTD.;英文名称：ANUH PHARMA LTD.,"3-A,Shivsagar Estate,North Wing Dr Annie Besant Road,Worli India-400 018 Mumbai,Maharashtra",中文名称：ANUH PHARMA LTD.;英文名称：ANUH PHARMA LTD.,"E-17/3,E-17/4 & E-18,M.I.D.C.,Tarapur Taluka Palghar,District Thane India-401 506 Boisar,Maharashtra",苏州先瑞药业有限公司,"江苏省,苏州市,张家港市塘桥镇永进路398号",申请变更吡嗪酰胺的国内注册代理机构，由原来的山东国茂医药科技有限公司变更为苏州先瑞药业有限公司。,2025-02-26,国家药品监督管理局药品审评中心,已备案
国备2025000531,中文：依巴斯汀片;英文/拉丁文：Ebastine Tablets,国药准字HJ20140855 国药准字HJ20140856,"中文名称：/;英文名称：ALMIRALL,S.A.","Ronda General Mitre, 151 08022 BARCELONA SPAIN","中文名称：/;英文名称：INDUSTRIAS FARMACEUTICAS ALMIRALL,S.A.",Ctra. de Martorell 41-61 08740 Sant Andreu de la Barca-Barcelona Spain,美纳里尼（中国）投资有限公司,武汉东湖新技术开发区高新大道666号B13栋5层,纠正本品技术资料中的生产工艺信息中的错误描述，以保证提交的注册技术资料与已获批的生产工艺信息表及实际生产工艺保持一致。本次申请不涉及依巴斯汀的实际生产工艺的变更及任何技术上的变更。,2025-03-22,国家药品监督管理局药品审评中心,已备案
国备2025000355,中文：醋酸阿托西班注射液;英文/拉丁文：Atosiban Acetate Injection,国药准字HJ20160183,中文名称：无;英文名称：Ferring AG,"Baarermatte 6340 Baar, Switzerland",中文名称：无;英文名称：Ferring GmbH,"Wittland 11, 24109 Kiel, Germany",辉凌医药咨询（上海）有限公司,上海市虹口区公平路168号31层,"申请按照最新发布的说明书撰写指南及指导原则，规范本品说明书的书写格式。变更后的内容如下： 
1. 请仔细阅读说明书并在医师或药师指导下使用 
2.【成份】活性成份：阿托西班 
3.【规格】5ml：37.5mg（按C43H67N11O12S2计） 
4.【贮藏】避光，2~8℃保存。贮存在原装瓶内。请将本品放在儿童不能接触的地方。 
5.【包装】西林瓶装。1瓶/盒。 
其中增加“或药师”，将主要成份变更为活性成份，规格项按有效部分计算描述从中文名称变更为以分子式表示，贮藏项增加请将本品放在儿童不能接触的地方。本次备案申请为国备2024002305和国备2025000007备案内容的详细描述，以此次备案内容为准。",2025-03-06,国家药品监督管理局药品审评中心,已备案
国备2025000354,中文：醋酸阿托西班注射液;英文/拉丁文：Atosiban Acetate Injection,国药准字HJ20160182,中文名称：无;英文名称：Ferring AG,"Baarermatte 6340 Baar, Switzerland",中文名称：无;英文名称：Ferring GmbH,"Wittland 11, 24109 Kiel, Germany",辉凌医药咨询（上海）有限公司,上海市虹口区公平路168号31层,"申请按照最新发布的说明书撰写指南及指导原则，规范本品说明书的书写格式。变更后的内容如下：
1. 请仔细阅读说明书并在医师或药师指导下使用
2.【成份】活性成份：阿托西班
3.【规格】0.9ml:6.75mg（按C43H67N11O12S2计）
4.【贮藏】避光，2~8℃保存。贮存在原装瓶内。请将本品放在儿童不能接触的地方。
5.【包装】西林瓶装。1瓶/盒。
其中增加“或药师”，将主要成份变更为活性成份，规格项按有效部分计算描述从中文名称变更为以分子式表示，贮藏项增加请将本品放在儿童不能接触的地方。本次备案申请为国备2024002306和国备2025000006备案内容的详细描述，以此次备案内容为准。",2025-03-06,国家药品监督管理局药品审评中心,已备案
国备2025000608,中文：氯沙坦钾片;英文/拉丁文：Losartan Potassium Tablets,国药准字HJ20171083,中文名称：不适用;英文名称：Organon Pharma (UK) Limited,"The Hewett Building, 14 Hewett Street, London,EC2A 3NP，United Kingdom",中文名称：不适用;英文名称：Organon Pharma (UK) Limited,"Shotton Lane, Cramlington, Northumberland NE23 3JU，United Kingdom",欧加隆（上海）医药科技有限公司,中国（上海）自由贸易试验区东育路255弄4号A栋5层503单元（名义楼层，实际楼层4层）,依照近期发布的《美国药典》的更新，并与《中国药典》2020年版中的氯沙坦钾原料药的各论保持一致，申请变更氯沙坦钾原料药企业内部质量标准中的部分检验项目和检验方法,2025-03-29,国家药品监督管理局药品审评中心,已备案
国备2025000607,中文：氯沙坦钾片;英文/拉丁文：Losartan Potassium Tablets,国药准字HJ20171081 国药准字HJ20171082,中文名称：不适用;英文名称：Organon Pharma (UK) Limited,"The Hewett Building, 14 Hewett Street, London,EC2A 3NP，United Kingdom",中文名称：不适用;英文名称：Organon Pharma (UK) Limited,"Shotton Lane, Cramlington, Northumberland, NE23 3JU，United Kingdom",欧加隆（上海）医药科技有限公司,中国（上海）自由贸易试验区东育路255弄4号A栋5层503单元（名义楼层，实际楼层4层）,依照近期发布的《美国药典》的更新，并与《中国药典》2020年版中的氯沙坦钾原料药的各论保持一致，申请变更氯沙坦钾原料药企业内部质量标准中的部分检验项目和检验方法。,2025-03-29,国家药品监督管理局药品审评中心,已备案
国备2025000372,中文：盐酸齐拉西酮胶囊;英文/拉丁文：Ziprasidone Hydrochloride Capsules,国药准字HJ20160410,中文名称：无;英文名称：Viatris Pharma GmbH,"Lütticher Strasse 5, 53842 Troisdorf, Federal Republic of Germany",中文名称：无;英文名称：Pfizer Ireland Pharmaceuticals,"Little Connell, Newbridge, Co. Kildare, Ireland",晖致医药有限公司,上海市静安区新闸路669号10层（实际楼层第9层）1-2单元及5-9单元,新增57968粒/桶包装规格，本品仅供晖致制药（大连）有限公司分包装生产用。,2025-03-06,国家药品监督管理局药品审评中心,已备案
国备2025000374,中文：盐酸齐拉西酮胶囊;英文/拉丁文：Ziprasidone Hydrochloride Capsules,国药准字HJ20160411,中文名称：无;英文名称：Viatris Pharma GmbH,"Lütticher Strasse 5, 53842 Troisdorf, Federal Republic of Germany",中文名称：无;英文名称：Pfizer Ireland Pharmaceuticals,"Little Connell, Newbridge, Co. Kildare, Ireland",晖致医药有限公司,上海市静安区新闸路669号46层（名义楼层）,新增42552粒/桶包装规格，本品仅供晖致制药（大连）有限公司分包装生产用。,2025-03-06,国家药品监督管理局药品审评中心,已备案
国备2025000371,中文：醋酸戈舍瑞林缓释植入剂;英文/拉丁文：Goserelin Acetate Sustained-Release Depot,国药准字HJ20160244,中文名称：/;英文名称：AstraZeneca UK Limited,"1 FRANCIS CRICK AVENUE, CAMBRIDGE, CB2 0AA, UNITED KINGDOM",中文名称：/;英文名称：AstraZeneca UK Limited,"SILK ROAD BUSINESS PARK, MACCLESFIELD,CHESHIRE, SK10 2NA, UNITED KINGDOM",阿斯利康投资（中国）有限公司,中国（上海）自由贸易试验区亮景路199号,"根据醋酸戈舍瑞林缓释植入剂10.8mg进口小包装产品2024年1月10日的备案内容（备案号：国备2024000070）和2024年10月20日批准的补充申请批准通知书（通知书编号：2024B04833），更新本品10.8mg国内分包装产品的相应信息。具体更新内容如下：
1. 更新本品国内分包装产品上市许可持有人（AstraZeneca UK Limited）地址，由“600 Capability Green, Luton, LU1 3LU, U.K.”变更为“1 FRANCIS CRICK AVENUE, CAMBRIDGE, CB2 0AA, UNITED KINGDOM”。仅上市许可持有人注册地址发生改变，实际持有人未发生变更。同时更新说明书和标签相应内容。
2. 更新生产企业（AstraZeneca UK Limited）地址描述，由“SILK ROAD BUSINESS PARK, MACCLESFIELD, CHESHIRE, SK10 2NA, UK”变更为“SILK ROAD BUSINESS PARK, MACCLESFIELD, CHESHIRE, SK10 2NA, UNITED KINGDOM”。实际生产地址未发生改变。同时更新说明书和标签相应内容。
3. 更新分包装说明书和标签上批准文号描述，由“进口药品大包装注册证号：国药准字HJ20160245；进口药品小包装注册证号：国药准字HJ20160244”更新为“国药准字HJ20160244”。实际批准文号未发生变更。
4. 更新境内联系人，由“名称：阿斯利康（无锡）贸易有限公司，地址：无锡市新吴区净慧东路汇融商务广场E楼（5号楼）”更新为“名称：阿斯利康制药有限公司；注册地址：无锡市新区黄山路2号”，同时更新说明书信息。
5. 对说明书中标题、【成份】、【性状】、【临床药理】、【贮藏】、【执行标准】、【上市许可持有人】、【分包装厂】和【境内联系人】格式和文字表述进行规范修改，同时更新标签相应内容。
6. 删除本品纸盒上中文说明性信息的英文翻译。
7. 增加10.8mg乳腺癌适应症相关内容，并对说明书中【适应症】、【用法用量】、【不良反应】、【禁忌】、【注意事项】、【孕妇及哺乳期妇女用药】、【临床试验】和【药理毒理】项的有关内容进行更新。同时更新药品标签有关信息。",2025-03-06,国家药品监督管理局药品审评中心,已备案
