备案号,药品通用名称,药品批准文号,上市许可持有人,上市许可持有人地址,生产企业名称,生产企业地址,代理机构,代理机构地址,备案内容,备案日期,备案机关,备注,注
国备2025002938,中文：爱活胆通软胶囊;英文/拉丁文：/,国药准字ZJ20090007,中文名称：德国汉堡爱活大药厂 ;英文名称：Pharmazeutische Fabrik Evers GmbH & Co.KG,"Siemensstr.4,25421 Pinneberg",中文名称：/;英文名称：Catalent Germany Eberbach GmbH,"Gammelsbacher Str.2,69412 Eberbach",澳美制药（海南）有限公司,海口国家高新技术产业开发区药谷工业园药谷一路2号,"取消“国备2025002888”备案，以此次备案内容为准。修订40粒和100粒分包装小盒的内容，具体如下：
1、在注册商标HITRECHOL右上角加上注册商标符号；
2、对原英文适应症所在面做如下修订：2.1将英文适应症、性状移至英文成分所在面，删除其余英文内容；2.2将中文成分、规格、性状、有效期、包装、贮藏、不良反应、禁忌、注意事项、用法用量、批准文号、药品上市许可持有人、注册地址、生产企业、生产地址移至该面；2.3增加药品上市许可持有人中英文Logo； 
3、对原中文成份所在面做如下修订：3.1删除所有内容；3.2增加注册商标HITRECHOL；3.3增加药品上市许可持有人、注册地址及Logo；
4、对中文适应症所在面做如下修订：4.1删除中文性状、药品上市许可持有人、注册地址、生产企业、生产地址；4.2变更图案；4.3增加药品上市许可持有人英文Logo。",2025-11-14,国家药品监督管理局药品审评中心,已备案
国备2025002973,中文：哌柏西利片;英文/拉丁文：Palbociclib Tablets,国药准字HJ20220071,中文名称：无;英文名称：Pfizer Japan Inc.,"3-22-7, Yoyogi, Shibuya-ku, Tokyo, Japan",中文名称：无;英文名称：Pfizer Manufacturing Deutschland GmbH,"Mooswaldallee 1, 79108 Freiburg Im Breisgau, Germany",辉瑞投资有限公司,上海市南京西路1168号中信泰富广场36层,"本次申请为补充国备2025001421中的备案内容，即更新本品注册证书中生产企业名称及生产地址描述，与CPP保持一致，实际地址未发生变化，仅为行政性变更，具体为：原生产企业名称：PfizerManufacturing Deutschland GmbH Betriebsstätte Freiburg 生 产 地 址：Mooswaldallee 1,79090 Freiburg, Germany 
更新为生产企业名称: Pfizer Manufacturing Deutschland GmbH 生 产 地 址: Mooswaldallee 1, 79108 Freiburg Im Breisgau, Germany
本品说明书、包装标签及生产工艺信息表中生产企业名称和生产地址已在（国备2025001421）中更新完成。",2025-11-19,国家药品监督管理局药品审评中心,已备案
国备2025002974,中文：哌柏西利片;英文/拉丁文：Palbociclib Tablets,国药准字HJ20220072,中文名称：无;英文名称：Pfizer Japan Inc.,"3-22-7, Yoyogi, Shibuya-ku, Tokyo, Japan",中文名称：无;英文名称：Pfizer Manufacturing Deutschland GmbH,"Mooswaldallee 1, 79108 Freiburg Im Breisgau, Germany",辉瑞投资有限公司,上海市南京西路1168号中信泰富广场36层,"本次申请为补充国备2025001422中的备案内容，即更新本品注册证书中生产企业名称及生产地址描述，与CPP保持一致，实际地址未发生变化，仅为行政性变更，具体为：原生产企业名称：PfizerManufacturing Deutschland GmbH Betriebsstätte Freiburg 生 产 地 址：Mooswaldallee 1,79090 Freiburg, Germany 
更新为生产企业名称: Pfizer Manufacturing Deutschland GmbH 生 产 地 址: Mooswaldallee 1, 79108 Freiburg Im Breisgau, Germany
本品说明书、包装标签及生产工艺信息表中生产企业名称和生产地址已在（国备2025001422）中更新完成。",2025-11-19,国家药品监督管理局药品审评中心,已备案
国备2025002953,中文：帕妥珠曲妥珠单抗注射液（皮下注射）;英文/拉丁文：Pertuzumab and Trastuzumab Injection(Subcutaneous Injection),国药准字SJ20230020,中文名称：/;英文名称：Roche Pharma (Schweiz) AG,"Grenzacherstrasse 124, 4058 Basel, Switzerland",中文名称：/;英文名称：F. Hoffmann-La Roche Ltd,"Wurmisweg, 4303 Kaiseraugst, Switzerland",罗氏（中国）投资有限公司,中国（上海）自由贸易试验区龙东大道1100号4号楼,在本品曲妥珠单抗SC原液生产工艺的阳离子交换层析（CEX）工艺步骤前引入一个在线深层过滤器，该过滤器为预加载过滤器，对其它工艺步骤或参数无影响。,2025-11-15,国家药品监督管理局药品审评中心,已备案
Y国备2025002996,中文：碳酸司维拉姆;英文/拉丁文：Sevelamer Carbonate,Y20220000327,中文名称：/;英文名称：Solara Active Pharma Sciences Limited,"2nd Floor, Admin Block 27 Vandaloor Kelambakkam Road, Keelakottaiyur Village, Melakottaiyur (Post) Chennai-600 127, India",中文名称：/;英文名称：Solara Active Pharma Sciences Limited,"A1/B, Sipcot Industrial Complex, Kudikadu , Cuddalore 607005, India",泊诺（天津）创新医药研究有限公司,天津自贸试验区（东疆保税港区）呼伦贝尔路426号铭海中心4号楼-3、7-901,在原有包装规格基础上，新增3kg/桶；4kg/桶；7kg/桶；8kg/桶；9kg/桶；11kg/桶；12kg/桶；13kg/桶；14kg/桶；16kg/桶；17kg/桶；18kg/桶；19kg/桶；21kg/桶；22kg/桶；23kg/桶；24kg/桶的包装规格。,2025-11-21,国家药品监督管理局药品审评中心,已备案
国备2025002976,中文：重组乙型肝炎疫苗（酿酒酵母）;英文/拉丁文：Recombinant Hepatitis B Vaccine (Saccharomyces cerevisiae),国药准字SJ20150020,中文名称：无;英文名称：GlaxoSmithKline Biologicals SA,"89, rue de l'Institut B-1330 Rixensart, Belgium",中文名称：无;英文名称：GlaxoSmithKline Biologicals SA,"89, rue de l'Institut B-1330 Rixensart, Belgium",葛兰素史克（中国）投资有限公司,北京市朝阳区东四环中路56号楼9层901单元901、902、903、905、908、909、910房间,修改药品批准文件中“包装规格”信息，由“ 1支/盒（瓶装或预填充型包装）” 修改为“1支/盒（预充注射器包装或西林瓶包装）” ，仅文字修订，对产品无实质影响。,2025-11-19,国家药品监督管理局药品审评中心,已备案
国备2025002975,中文：重组乙型肝炎疫苗（酿酒酵母）;英文/拉丁文：Recombinant Hepatitis B Vaccine (Saccharomyces cerevisiae),国药准字SJ20150022,中文名称：无;英文名称：GlaxoSmithKline Biologicals SA,"89, rue de l'Institut B-1330 Rixensart, Belgium",中文名称：无;英文名称：GlaxoSmithKline Biologicals SA,"89, rue de l'Institut B-1330 Rixensart, Belgium",葛兰素史克（中国）投资有限公司,北京市朝阳区东四环中路56号楼9层901单元901、902、903、905、908、909、910房间,修改药品批准文件中“包装规格”信息，由“ 1支/盒（预充注射器包装和西林瓶包装）” 修改为“1支/盒（预充注射器包装或西林瓶包装）” ，仅文字修订，对产品无实质影响。,2025-11-19,国家药品监督管理局药品审评中心,已备案
国备2025003009,中文：醋酸阿比特龙片;英文/拉丁文：Abiraterone Acetate Tablets,国药准字HJ20210014,中文名称：Dr. Reddy's Laboratories Limited;英文名称：Dr. Reddy's Laboratories Limited,")：Formulation Unit-VII, Plot No. P1 to P9, Phase-III, VSEZ, Duvvada, Visakhapatnam District 530046, Andhra Pradesh, India",中文名称：Dr. Reddy's Laboratories Limited;英文名称：Dr. Reddy's Laboratories Limited,"Formulation Unit-VII, Plot No. P1 to P9, Phase-III, VSEZ, Duvvada, Visakhapatnam District 530046, Andhra Pradesh, India",瑞迪博士（北京）药业有限公司,北京市朝阳区建国路91号院8号楼15层1509单元,醋酸阿比特龙片注册标准（标准编号JX20200004）中各检测项下参考的中国药典通则由中国药典2020年版升级变更为中国药典2025年版，其溶出度检查限度的判定方法执行原注册标准，不变更；该注册标准“附3：原料药质量标准”中各检测项下参考的中国药典通则由中国药典2020年版升级变更为中国药典2025年版，其中炽灼残渣检查明确为中国药典2025年版四部通则0841第一法，粒度检查明确为中国药典2025年版四部通则0982第三法1。,2025-11-22,国家药品监督管理局药品审评中心,已备案
国备2025002943,中文：盐酸曲唑酮缓释片;英文/拉丁文：Trazodone Hydrochloride Sustained-release Tablets,国药准字HJ20200052,中文名称：无;英文名称：AZ.CHIM.RIUN.ANGELINI FRANCESCO ACRAF S.P.A.,VIALE AMELIA 70-00181 ROMA-ITALIA,中文名称：无;英文名称：AZ.CHIM.RIUN.ANGELINI FRANCESCO ACRAF S.P.A.,"VIA VECCHIA DEL PINOCCHIO 22, 60131 ANCONA-ITALIA",兆科药业（广州）有限公司,广州市南沙区珠江工业园美德三路1号自编A栋二层西区,按照国家药品监督管理局发布的《境外药品上市许可持有人指定境内责任人管理暂行规定》的公告（2024年第137号）以及国家药品审评中心发布的【境内责任人】信息如何在药品说明书和标签中列出的共性问题解答，修订本品的现行药品说明书，删除【境内联系人】信息。,2025-11-14,国家药品监督管理局药品审评中心,已备案
国备2025002944,中文：盐酸曲唑酮缓释片;英文/拉丁文：Trazodone Hydrochloride Sustained-release Tablets,国药准字HJ20200051,中文名称：无;英文名称：AZ.CHIM.RIUN.ANGELINI FRANCESCO ACRAF S.P.A.,VIALE AMELIA 70-00181 ROMA-ITALIA,中文名称：无;英文名称：AZ.CHIM.RIUN.ANGELINI FRANCESCO ACRAF S.P.A.,"VIA VECCHIA DEL PINOCCHIO 22, 60131 ANCONA-ITALIA",兆科药业（广州）有限公司,广州市南沙区珠江工业园美德三路1号自编A栋二层西区,按照国家药品监督管理局发布的《境外药品上市许可持有人指定境内责任人管理暂行规定》的公告（2024年第137号）以及国家药品审评中心发布的【境内责任人】信息如何在药品说明书和标签中列出的共性问题解答，修订本品的现行药品说明书，删除【境内联系人】信息。,2025-11-14,国家药品监督管理局药品审评中心,已备案
国备2025002995,中文：达格列净二甲双胍缓释片（Ⅳ）;英文/拉丁文：Dapagliflozin and Metformin Hydrochloride Sustained-release Tablets (Ⅳ),国药准字HJ20230079,中文名称：/;英文名称：AstraZeneca AB,"SE-151 85, Södertälje, Sweden",中文名称：/;英文名称：AstraZeneca Pharmaceuticals LP,"4601 Highway 62 East, Mount Vernon, IN 47620 United States of America",阿斯利康全球研发（中国）有限公司,上海市静安区西藏北路88号16楼,根据《关于发布药品说明书适老化及无障碍改革试点工作方案的公告 》（2023年第142号）要求，按照试点方式和要求对达格列净二甲双胍缓释片（Ⅰ）、（Ⅱ）、（Ⅲ）、（Ⅳ）分包装产品说明书进行备案。,2025-11-20,国家药品监督管理局药品审评中心,已备案
国备2025002994,中文：达格列净二甲双胍缓释片（Ⅲ）;英文/拉丁文：Dapagliflozin and Metformin Hydrochloride Sustained-release Tablets (Ⅲ),国药准字HJ20230078,中文名称：/;英文名称：AstraZeneca AB,"SE-151 85, Södertälje, Sweden",中文名称：/;英文名称：AstraZeneca Pharmaceuticals LP,"4601 Highway 62 East, Mount Vernon, IN 47620 United States of America",阿斯利康全球研发（中国）有限公司,上海市静安区西藏北路88号16楼,根据《关于发布药品说明书适老化及无障碍改革试点工作方案的公告 》（2023年第142号）要求，按照试点方式和要求对达格列净二甲双胍缓释片（Ⅰ）、（Ⅱ）、（Ⅲ）、（Ⅳ）分包装产品说明书进行备案。,2025-11-20,国家药品监督管理局药品审评中心,已备案
国备2025002956,中文：厄多司坦胶囊;英文/拉丁文：Erdosteine Capsules,国药准字HJ20150462,中文名称：/;英文名称：EDMOND PHARMA S.R.L,"STRADA STATALE DEI GIOVI, 131-20037 PADERNO DUGNANO (MI) ITALIA",中文名称：/;英文名称：FAMAR ITALIA S.p.A,"VIA ZAMBELETTI,25-20021 BARANZATE (MI) ITALIA",辉盈（上海）医药科技有限公司,中国（上海）自由贸易试验区临港新片区宏祥北路83弄1-42号20幢118室,"根据已批准的说明书修订【成份】，【药物相互作用】，【药理毒理】等描述，【执行标准】由 JX20070116 变更为 JX20250125；
药品标签和铝箔的商标由“亿坦®”变更为“可立坦®”。",2025-11-18,国家药品监督管理局药品审评中心,已备案
国备2025002993,中文：达格列净二甲双胍缓释片（Ⅱ）;英文/拉丁文：Dapagliflozin and Metformin Hydrochloride Sustained-release Tablets (Ⅱ),国药准字HJ20230076,中文名称：/;英文名称：AstraZeneca AB,"SE-151 85, Södertälje, Sweden",中文名称：/;英文名称：AstraZeneca Pharmaceuticals LP,"4601 Highway 62 East, Mount Vernon, IN 47620 United States of America",阿斯利康全球研发（中国）有限公司,上海市静安区西藏北路88号16楼,根据《关于发布药品说明书适老化及无障碍改革试点工作方案的公告 》（2023年第142号）要求，按照试点方式和要求对达格列净二甲双胍缓释片（Ⅰ）、（Ⅱ）、（Ⅲ）、（Ⅳ）分包装产品说明书进行备案。,2025-11-20,国家药品监督管理局药品审评中心,已备案
国备2025002992,中文：达格列净二甲双胍缓释片（Ⅰ）;英文/拉丁文：Dapagliflozin and Metformin Hydrochloride Sustained-release Tablets (Ⅰ),国药准字HJ20230080,中文名称：/;英文名称：AstraZeneca AB,"SE-151 85, Södertälje, Sweden",中文名称：/;英文名称：AstraZeneca Pharmaceuticals LP,"4601 Highway 62 East, Mount Vernon, IN 47620 United States of America",阿斯利康全球研发（中国）有限公司,上海市静安区西藏北路88号16楼,根据《关于发布药品说明书适老化及无障碍改革试点工作方案的公告 》（2023年第142号）要求，按照试点方式和要求对达格列净二甲双胍缓释片（Ⅰ）、（Ⅱ）、（Ⅲ）、（Ⅳ）分包装产品说明书进行备案。,2025-11-20,国家药品监督管理局药品审评中心,已备案
Y国备2025002954,中文：匹可硫酸钠;英文/拉丁文：Sodium Picosulphate,Y20230000330,中文名称：CAMBREX PROFARMACO MILANO S.R.L.;英文名称：CAMBREX PROFARMACO MILANO S.R.L.,"Via Curiel, 34 - 20067 PAULLO (MI)",中文名称：CAMBREX PROFARMACO MILANO S.R.L.;英文名称：CAMBREX PROFARMACO MILANO S.R.L.,"Via Curiel, 34 - 20067 PAULLO (MI)",泰格康利华（北京）咨询服务有限公司,北京市门头沟区石龙经济开发区永安路20号3号楼一层187室,"1.注册代理机构名称由北京康利华咨询服务有限公司变更为泰格康利华（北京）咨询服务有限公司 
2.注册代理机构地址由北京市朝阳区东四环中路60号楼2405室变更为北京市门头沟区石龙经济开发区永安路20号3号楼一层187室",2025-11-15,国家药品监督管理局药品审评中心,已备案
国备2025002991,中文：达格列净二甲双胍缓释片（Ⅰ）;英文/拉丁文：Dapagliflozin and Metformin Hydrochloride Sustained-release Tablets (Ⅰ),国药准字HJ20230077,中文名称：/;英文名称：AstraZeneca AB,"SE-151 85, Södertälje, Sweden",中文名称：/;英文名称：AstraZeneca Pharmaceuticals LP,"4601 Highway 62 East, Mount Vernon, IN 47620 United States of America",阿斯利康全球研发（中国）有限公司,上海市静安区西藏北路88号16楼,根据《关于发布药品说明书适老化及无障碍改革试点工作方案的公告 》（2023年第142号）要求，按照试点方式和要求对达格列净二甲双胍缓释片（Ⅰ）、（Ⅱ）、（Ⅲ）、（Ⅳ）分包装产品说明书进行备案。,2025-11-20,国家药品监督管理局药品审评中心,已备案
国备2025002966,中文：盐酸托莫西汀胶囊;英文/拉丁文：Atomoxetine Hydrochloride Capsules,国药准字HJ20220059,中文名称：----;英文名称：Dr. Reddy's Laboratories Ltd.,"FTO Unit 3, Survey No. 41, 42 Part, 45 Part & 46 Part, Bachupally Village and Mandal, Medchal-Malkajgiri District-500090 Telangana, India",中文名称：----;英文名称：Dr. Reddy's Laboratories Ltd.,"FTO Unit 3, Survey No. 41, 42 Part, 45 Part & 46 Part, Bachupally Village and Mandal, Medchal-Malkajgiri District-500090 Telangana, India",瑞迪博士（北京）药业有限公司,北京市朝阳区建国路91号院8号楼15层1509单元,生产工艺信息表附件5项下5.4明胶空心胶囊质量标准中铬的检测方法和着色剂FD&C蓝色2鉴别方法中样品取样量和限度的纠错。,2025-11-19,国家药品监督管理局药品审评中心,已备案
国备2025002964,中文：哌柏西利胶囊;英文/拉丁文：Palbociclib Capsules,国药准字HJ20180042,中文名称：无;英文名称：Pfizer Europe MA EEIG,"Boulevard de la Plaine 17,1050 Bruxelles,Belgium",中文名称：无;英文名称：Pfizer Manufacturing Deutschland GmbH,"Mooswaldallee 1, 79108 Freiburg Im Breisgau, Germany",辉瑞投资有限公司,上海市南京西路1168号中信泰富广场36层,"本次申请为补充国备2025000504中的备案内容，即更新本品注册证书中生产企业名称及生产地址描述，与CPP保持一致，实际地址未发生变化，仅为行政性变更，具体为：原生产企业名称：PfizerManufacturing Deutschland GmbH Betriebsstatte Freiburg 生 产 地 址：Mooswaldallee 1,79090 Freiburg, Germany 
更新为生产企业名称: Pfizer Manufacturing Deutschland GmbH 生 产 地 址: Mooswaldallee 1, 79108 Freiburg Im Breisgau, Germany
本品说明书、包装标签中生产企业名称和生产地址已在（国备2025000504）中更新完成。",2025-11-18,国家药品监督管理局药品审评中心,已备案
国备2025002965,中文：哌柏西利胶囊;英文/拉丁文：Palbociclib Capsules,国药准字HJ20180041,中文名称：无;英文名称：Pfizer Europe MA EEIG,"Boulevard de la Plaine 17,1050 Bruxelles,Belgium",中文名称：无;英文名称：Pfizer Manufacturing Deutschland GmbH,"Mooswaldallee 1, 79108 Freiburg Im Breisgau, Germany",辉瑞投资有限公司,上海市南京西路1168号中信泰富广场36层,"本次申请为补充国备2025000505中的备案内容，即更新本品注册证书中生产企业名称及生产地址描述，与CPP保持一致，实际地址未发生变化，仅为行政性变更，具体为：原生产企业名称：PfizerManufacturing Deutschland GmbH Betriebsstatte Freiburg 生 产 地 址：Mooswaldallee 1,79090 Freiburg, Germany 
更新为生产企业名称: Pfizer Manufacturing Deutschland GmbH 生 产 地 址: Mooswaldallee 1, 79108 Freiburg Im Breisgau, Germany
本品说明书、包装标签中生产企业名称和生产地址已在（国备2025000505）中更新完成",2025-11-18,国家药品监督管理局药品审评中心,已备案
国备2025003016,中文：苯磺顺阿曲库铵注射液;英文/拉丁文：Cisatracurium Besylate Injection,国药准字HJ20181158,中文名称：无;英文名称：Aspen Pharmacare Australia Pty Ltd,"34-36 Chandos Street, ST LEONARDS NSW 2065, AUSTRALIA",中文名称：无;英文名称：Aspen SA Sterile Operations (Pty) Ltd.,"Gibaud Road 8B, Korsten, Gqeberha, 6020, South Africa",爱施健（广东）制药有限公司,中山市火炬开发区会展东路1号德仲广场1幢1803室、1804室,变更注册代理机构：解除旧代理机构“广州爱施健贸易咨询有限公司”的注册授权。委托新注册代理机构“爱施健（广东）制药有限公司”负责本品在中国境内的注册服务事项。,2025-11-22,国家药品监督管理局药品审评中心,已备案
国备2025003012,中文：紫杉醇口服溶液;英文/拉丁文：Paclitaxel Oral Solution,国药准字HJ20240096,中文名称：无;英文名称：DAEHWA PHARMACEUTICAL CO.，LTD.,"495, Hanu-ro, Hoengseong-eup, Hoengseong-gun, Gangwon-do, Republic of Korea",中文名称：无;英文名称：DAEHWA PHARMACEUTICAL CO.，LTD.,"495, Hanu-ro, Hoengseong-eup, Hoengseong-gun, Gangwon-do, Republic of Korea",上海海和药物研究开发股份有限公司,中国（上海）自由贸易试验区祖冲之路865号1号楼1层102单元及5-6整层及2号楼4层整层,说明书和标签的【境内责任人】注册地址，变更为“中国（上海）自由贸易试验区祖冲之路865号1号楼1层102单元及5-6整层及2号楼4层整层。”,2025-11-22,国家药品监督管理局药品审评中心,已备案
