备案号,药品通用名称,药品批准文号,上市许可持有人,上市许可持有人地址,生产企业名称,生产企业地址,代理机构,代理机构地址,备案内容,备案日期,备案机关,备注,注
国备2025001961,中文：活络油 ;英文/拉丁文：/,国药准字ZC20160010,中文名称：英吉利制药厂有限公司;英文名称：YING KUT LEE MEDICINE FTY. LTD.,香港九龙大角咀埃华街28号永利工业大厦13字楼A座,中文名称：英吉利制药厂有限公司;英文名称：YING KUT LEE MEDICINE FTY. LTD.,九龙油塘高辉道17号油塘工业城B2座11字楼8，9，12室,北京佳禾乐康科技有限公司,北京市丰台区航丰路8号院2号楼-1层21号,将每瓶装60ml规格的有效期由“24个月”变更为“36个月”，同时对药品说明书及包装标签中【有效期】项做相应修订。,2025-08-12,国家药品监督管理局药品审评中心,已备案
国备2025001993,中文：替米沙坦片;英文/拉丁文：Telmisartan tablets,国药准字HJ20171003&国药准字HJ20171224&国药准字HJ20171271,中文名称：/;英文名称：Boehringer Ingelheim International GmbH,"Binger Strasse 173, D-55216 Ingelheim am Rhein, Germany",中文名称：/;英文名称：Boehringer Ingelheim Hellas Single Member S.A.,"5th km Paiania-Markopoulo Attiki, 19441, Greece",勃林格殷格翰(中国)投资有限公司,中国（上海）自由贸易试验区李时珍路257号1号楼,根据本品进口小包装批准版说明书，修订本品分包装产品说明书的安全性信息。,2025-08-16,国家药品监督管理局药品审评中心,已备案
Y国备2025002226,中文：盐酸美西律;英文/拉丁文：Mexiletine Hydrochloride,Y20170001219,中文名称：无;英文名称：Alembic Pharmaceuticals Limited,"Alembic Road, Vadodara-390003. Gujarat, India.",中文名称：无;英文名称：Alembic Pharmaceuticals Limited,"API DIVISION PANELAV, AT- PANELAV, TAL - HALOL, CITY. - PANELAV, DIST. - PANCHMAHAL, GUJARAT STATE, INIDA",上海佰利源医药科技有限公司,上海市闵行区中春路988号11幢2楼,将注册代理机构“上海佰利源医药科技有限公司”的注册地址由“上海市闵行区颛兴东路1277弄54号402室”变更为“上海市闵行区中春路988号11幢2楼”。,2025-09-05,国家药品监督管理局药品审评中心,已备案
国备2025002197,中文：匹伐他汀钙片;英文/拉丁文：Pitavastatin Calcium Tablets,国药准字HJ20140101。国药准字HJ20181246,"中文名称：无;英文名称：Kowa Company, Ltd.","6-29, Nishiki 3-chome, Naka-ku, Nagoya, Aichi, JAPAN","中文名称：无;英文名称：Kowa Company, Ltd., Nagoya Factory","18-57, Hatooka 2-chome, Kita-ku, Nagoya, Aichi, JAPAN",兴和制药（中国）有限公司,江苏省常州市新北区紫苏路1号,进口药品分包装申请及其变更。即：申请在“兴和制药（中国）有限公司”进行匹伐他汀钙片4mg片剂的进口分包装。,2025-09-04,国家药品监督管理局药品审评中心,已备案
Y国备2025001806,中文：恩扎卢胺;英文/拉丁文：Enzalutamide,Y20200001084,中文名称：无;英文名称：Dr. Reddy's Laboratories Limited,"Chemical Technical Operation's Unit-VI, APIIC Industrial Estate, Pydibhimavaram Village, Ranasthalam Mandal, Srikakulam District-532409, Andhra Pradesh, India",中文名称：无;英文名称：Dr. Reddy's Laboratories Limited,"Chemical Technical Operation's Unit-VI, APIIC Industrial Estate, Pydibhimavaram Village, Ranasthalam Mandal, Srikakulam District-532409, Andhra Pradesh, India",瑞迪博士（北京）药业有限公司,北京市朝阳区建国路91号院8号楼15层1509单元,"1.变更中间体的质量标准和分析方法，变更后中间体的质量控制水平与变更前相比，并未降低。
2. 增加起始物料供应商
3. 在已获批的批量的基础上，新增批量放大的生产工艺及与批量放大变更相关的生产区域变更（变更后的生产区域仍为已批准生产场地的一部分）和设备变更
4. 细化部分关键工艺参数描述，无实质性变更
5. 新增部分关键工艺参数，以更好的保证产品质量",2025-07-23,国家药品监督管理局药品审评中心,已备案
国备2025001782,中文：氨酚右敏口服溶液;英文/拉丁文：Paracetamol and Dexchlorpheniramine Maleate Oral Solution,国药准字HC20160038,中文名称：澳美制药厂有限公司;英文名称：BRIGHT FUTURE PHARMACEUTICAL LABORATORIES LIMITED,"香港新界元朗工业村宏富街1&8号澳美制药中心（BF PHARMACEUTICAL CENTRE, NO.1&8 WANG FU STREET, YUEN LONG INDUSTRIAL ESTATE, YUEN LONG, N.T., HONG KONG.）",中文名称：澳美制药厂;英文名称：Bright Future Pharmaceuticals Factory,"香港新界元朗工业村宏富街1号澳美制药中心（BF PHARMACEUTICAL CENTRE, NO.1 WANG FU STREET, YUEN LONG INDUSTRIAL ESTATE, YUEN LONG, N.T., HONG KONG.）",深圳澳美制药技术开发有限公司,深圳市南山区粤海街道白石路与沙河西路交界处深圳湾科技生态园一区一期2栋A座4A01,修订60ml、100ml小盒及标签的内容，具体为：变更图案。,2025-07-18,国家药品监督管理局药品审评中心,已备案
国备2025001798,中文：屈螺酮炔雌醇片;英文/拉丁文：Drospirenone and Ethinylestradiol Tablets,国药准字HJ20170316,中文名称：-;英文名称：Bayer Australia Ltd,"875 Pacific Highway PYMBLE NSW 2073, Australia",中文名称：-;英文名称：Bayer Weimar GmbH & Co. KG,"Doebereinerstrasse 20 99427 Weimar, Germany",简柏特（佛山）信息技术服务有限公司,广东省佛山市南海区桂城街道深海路17号瀚天科技城A区8号楼6楼,将药品注册代理机构由拜耳医药保健有限公司变更为简柏特（佛山）信息技术服务有限公司。,2025-07-22,国家药品监督管理局药品审评中心,已备案
Y国备2025001918,中文：玻璃酸钠;英文/拉丁文：Sodium Hyaluronate,Y20210000023,中文名称：HTL;英文名称：HTL,"7 rue Alfred Kastler, Z.I. de l'Aumaillerie, 35133 JAVENE-FRANCE",中文名称：HTL;英文名称：HTL,"7 rue Alfred Kastler, Z.I. de l'Aumaillerie, 35133 JAVENE-FRANCE",泰格康利华（北京）咨询服务有限公司,北京市门头沟区石龙经济开发区永安路20号3号楼一层187室,变更本品药品注册标准中的部分文字描述。,2025-08-06,国家药品监督管理局药品审评中心,已备案
Y国备2025001980,中文：奥沙利铂;英文/拉丁文：Oxaliplatin,Y20190000501,中文名称：UMICORE ARGENTINA S.A.;英文名称：UMICORE ARGENTINA S.A.,"14 Street, Building #229, Argentina-B1629 MXA Pilar Industrial Park, Buenos Aires Province",中文名称：UMICORE ARGENTINA S.A.;英文名称：UMICORE ARGENTINA S.A.,"14 Street, Building #229, Argentina-B1629 MXA Pilar Industrial Park, Buenos Aires Province",广州安信医药有限公司,广州市高新技术产业开发区科学城揽月路80号科技创新基地D区第6层614-616单元,"本次备案申请变更原料药申请人地址，由“Roque Saenz Pena 651 8° floor office 139 (C.P. C1035) of the City off Buenos Aires of the Argentine Republic”变更为“14 Street, Building #229, Argentina-B1629 MXA Pilar Industrial Park, Buenos Aires Province”。",2025-08-14,国家药品监督管理局药品审评中心,已备案
国备2025002243,中文：注射用美罗培南;英文/拉丁文：Meropenem for Injection,国药准字HJ20140702,"中文名称：无;英文名称：Sumitomo Pharma Co., Ltd.","6-8, Doshomachi 2-chome, Chuo-ku, Osaka, Osaka 541-0045, Japan","中文名称：无;英文名称：Sumitomo Pharma Co., Ltd. Oita Plant","2200 Oaza Tsurusaki, Oita, Oita 870-0106, Japan",住友制药（苏州）有限公司,中国（江苏）自由贸易试验区苏州片区苏州工业园区青丘街115号,由于中国药典2025年版的颁布，进行如下备案：1、根据中国药典2025年版注射用美罗培南各论，将本品注册标准JX20160020中“溶液的澄清度与颜色”中的样品配制浓度的表述由“每1ml中含0.1g的溶液”变更为“每1ml中含0.10g的溶液”。2、根据中国药典2025年版注射用美罗培南各论，规范本品注册标准JX20160020中“不溶性微粒”的限度表述，由“折算为每1g样品中含10μm以上的微粒不得过6000粒，含25μm以上的微粒不得过600粒”变更为：“折算为每1g样品中含10μm及10μm以上的微粒不得过6000粒，含25μm及25μm以上的微粒不得过600粒”，仅规范表述，实际方法及限度不变。3、将本品注册标准JX20160020中引用的中国药典通则版本由2020年版升级为2025年版。,2025-09-05,国家药品监督管理局药品审评中心,已备案
国备2025002195,"中文：丁二磺酸腺苷蛋氨酸肠溶片;英文/拉丁文：Ademetionine 1,4-Butanedisulfonate Enteric Coated Tablets",国药准字HJ20150629,中文名称：/;英文名称：ABBOTT LABORATORIES (M) SDN. BHD.,"27-02, LEVEL 27, IMAZIUM, NO. 8, JALAN SS 21/37, DAMANSARA UPTOWN, 47400 PETALING JAYA, SELANGOR MALAYSIA",中文名称：/;英文名称：ABBVIE S.R.L.,"S.R.148, PONTINA KM 52, SNC CAMPOVERDE DI APRILIA 04011 APRILIA ITALY",上海雅培制药有限公司,上海市奉贤区海湾镇五四公路1288号,本品的注册代理机构由“雅培贸易（上海）有限公司，地址：中国（上海）自由贸易试验区美盛路56号4号楼109部位”变更为“上海雅培制药有限公司，地址：上海市奉贤区海湾镇五四公路1288号”。,2025-09-04,国家药品监督管理局药品审评中心,已备案
国备2025001817,"中文：注射用重组人凝血因子Ⅶa;英文/拉丁文：Recombinant Human Coagulation Factor VIIa for Injection（Eptacog alfa, activated)",国药准字SJ20150063,中文名称：丹麦诺和诺德公司;英文名称：Novo Nordisk A/S,"Novo Alle,DK-2880 Bagsvaerd,Denmark",中文名称：丹麦诺和诺德公司;英文名称：Novo Nordisk A/S,"Novo Alle, DK-2880 Bagsvaerd, Denmark",诺和诺德（中国）制药有限公司,天津经济技术开发区南海路,"将原液生产用原材料的检验项目总蛋白质含量的分析方法从凯氏定氮法改为2,2'-联喹啉-4,4'-二羧酸法（BCA法），并更新本品制造及检定规程中相关描述。",2025-07-24,国家药品监督管理局药品审评中心,已备案
国备2025001816,"中文：注射用重组人凝血因子Ⅶa;英文/拉丁文：Recombinant Human Coagulation Factor VIIa for Injection（Eptacog alfa, activated)",国药准字SJ20150062,中文名称：丹麦诺和诺德公司;英文名称：Novo Nordisk A/S,"Novo Alle,DK-2880 Bagsvaerd,Denmark",中文名称：丹麦诺和诺德公司;英文名称：Novo Nordisk A/S,"Novo Alle, DK-2880 Bagsvaerd, Denmark",诺和诺德（中国）制药有限公司,天津经济技术开发区南海路,"将原液生产用原材料的检验项目总蛋白质含量的分析方法从凯氏定氮法改为2,2'-联喹啉-4,4'-二羧酸法（BCA法），并更新本品制造及检定规程中相关描述。",2025-07-24,国家药品监督管理局药品审评中心,已备案
国备2025001829,中文：磺达肝癸钠注射液;英文/拉丁文：Fondaparinux Sodium Injection,国药准字HJ20181230,中文名称：无;英文名称：Aspen Pharma Trading Limited,"3016 Lake Drive, Citywest Business Campus, Dublin 24, Ireland",中文名称：无;英文名称：Aspen Notre Dame de Bondeville,1，rue de l' Abbaye，76960 Notre Dame de Bondeville，France,广州爱施健贸易咨询有限公司,广州市天河区珠江西路10号2101房（部位：01-04单元）,根据ICH Q3D元素杂质指导原则及欧洲药典专论，删除磺达肝癸钠内控标准中的重金属，同时对相关的CTD资料进行更新。该变更对原料药和制剂的质量无影响。,2025-07-25,国家药品监督管理局药品审评中心,经审查，根据《已上市化学药品药学变更研究技术指导原则（试行）》此次备案为重大变更，请持有人按照补充申请形式申报。取消本次备案事项。
国备2025001866,中文：达依泊汀α注射液;英文/拉丁文：Darbepoetin alfa Injection,S20200014,"中文名称：/;英文名称：Kyowa Kirin Co., Ltd.","1-9-2 Otemachi, Chiyoda-ku, Tokyo, Japan","中文名称：/;英文名称：Terumo Corporation, Kofu Factory","1727-1 Tsuijiarai, Showa-cho, Nakakoma-gun, Yamanashi, 409-3853, Japan",协和麒麟（中国）制药有限公司,中国（上海）自由贸易试验区龙东大道970号,根据2025年7月10日获得的达依泊汀α注射液一次性进口批件（批件号：20250178）及其大包装备案（备案号：国备2025001783），申请该进口药品在中国国内分包装，分包装企业：协和麒麟（中国）制药有限公司，地址：中国（上海）自由贸易试验区龙东大道970号。,2025-07-30,国家药品监督管理局药品审评中心,已备案
国备2025001818,中文：奥美拉唑肠溶胶囊;英文/拉丁文：Omeprazole Enteric-coated Capsules,国药准字HC20140026 国药准字HC20150005,中文名称：香港正美药品有限公司;英文名称：JEAN-MARIE PHARMACAL CO. LTD.,"1/F, GMP CTR, TAI PO IND ESTATE, 12 DAI FU ST, TAI PO, NT, HONG KONG",中文名称：香港正美药品有限公司;英文名称：JEAN-MARIE PHARMACAL CO. LTD.,"1/F, GMP CTR, TAI PO IND ESTATE, 12 DAI FU ST, TAI PO, NT, HONG KONG",有邦（杭州）健康科技有限公司,浙江省杭州市余杭区仓前街道仓兴街1390号9幢701-7室,"1、将奥美拉唑肠溶胶囊（国药准字HC20140026、国药准字HC20150005）说明书及包装标签中的“【境内联系】”更新为“【境内责任人】”，并对OTC说明书中的提示语作相应修订；
2、将说明书及包装标签中的“【药品批准文号】”规范为“【批准文号】”；
3、对OTC说明书作文字规整（删除一处“PPI”）。",2025-07-24,国家药品监督管理局药品审评中心,已备案。请关注：境外持有人应当按照《国家药监局关于发布〈境外药品上市许可持有人指定境内责任人管理暂行规定〉的公告》（2024年第137号）要求，向所在地省、自治区、直辖市药品监督管理部门报告其指定的境内责任人。
国备2025001797,中文：屈螺酮炔雌醇片 (Ⅱ);英文/拉丁文：Drospirenone and Ethinylestradiol Tablets (Ⅱ),国药准字HJ20140972,中文名称：-;英文名称：Bayer Australia Ltd,875 Pacific Highway PYMBLE NSW 2073 Australia,中文名称：-;英文名称：Bayer Weimar GmbH und Co. KG,"Dobereinerstraβe 20, 99427 Weimar, Thuringia, Germany",简柏特（佛山）信息技术服务有限公司,广东省佛山市南海区桂城街道深海路17号瀚天科技城A区8号楼6楼,将药品注册代理机构由拜耳医药保健有限公司变更为简柏特（佛山）信息技术服务有限公司。,2025-07-22,国家药品监督管理局药品审评中心,已备案
国备2025001799,中文：屈螺酮炔雌醇片;英文/拉丁文：Drospirenone and Ethinylestradiol Tablets,国药准字HJ20170317,中文名称：-;英文名称：Bayer Australia Ltd,"875 Pacific Highway PYMBLE NSW 2073, Australia",中文名称：-;英文名称：Bayer Weimar GmbH & Co. KG,"Doebereinerstrasse 20 99427 Weimar, Germany",简柏特（佛山）信息技术服务有限公司,广东省佛山市南海区桂城街道深海路17号瀚天科技城A区8号楼6楼,将药品注册代理机构由拜耳医药保健有限公司变更为简柏特（佛山）信息技术服务有限公司。,2025-07-22,国家药品监督管理局药品审评中心,已备案
国备2025001879,中文：乙酰半胱氨酸泡腾片;英文/拉丁文：Acetylcysteine Effervescent Tablets,国药准字HC20220001,中文名称：健乔信元医药生技股份有限公司;英文名称：Synmosa Biopharma Corporation,台湾新竹县湖口乡工业一路6号,中文名称：健乔信元医药生技股份有限公司健乔厂;英文名称：健乔信元医药生技股份有限公司健乔厂,中国台湾新竹县湖口乡中兴村工业一路6号,昆山健茂贸易有限公司,江苏省昆山开发区碧景苑78号楼6号房,本次备案的主要内容是：依据NMPA发布的《境外药品上市许可持有人指定境内责任人管理暂行规定》，在说明书中增订境内责任人名称、地址、联系方式信息；根据CDE发布的《化学药品及生物制品说明书通用格式和撰写指南》要求，在说明书《上市许可持有人》项下增订邮政编码、电话、传真及网址信息。,2025-08-01,国家药品监督管理局药品审评中心,已备案。请关注：境外持有人应当按照《国家药监局关于发布〈境外药品上市许可持有人指定境内责任人管理暂行规定〉的公告》（2024年第137号）要求，向所在地省、自治区、直辖市药品监督管理部门报告其指定的境内责任人。
国备2025002957,中文：枸橼酸伊沙佐米胶囊;英文/拉丁文：Ixazomib Citrate Capsules,国药准字HJ20180010,中文名称：无;英文名称：Takeda Pharma A/S,"Delta Park 45, 2665 Vallensbaek Strand, Denmark",中文名称：无;英文名称：Haupt Pharma Amareg GmbH；Takeda Ireland Ltd.,"Donaustaufer Strasse 378, Regensburg, Bayern 93055, Germany；Grange Castle Business Park, Nangor Road, Dublin 22, D22 XR57, Ireland",武田（中国）国际贸易有限公司,中国（上海）自由贸易试验区美盛路56号2层220室,"1. 枸橼酸伊沙佐米胶囊（2.3mg）次级包装厂以及枸橼酸伊沙佐米胶囊（3mg和4mg）生产厂、初级包装厂、次级包装厂均为Takeda Ireland Ltd。申请Takeda Ireland Ltd的地址名称由 Grange Castle Business Park, Dublin 22, D22 XR57, Ireland变更为：Grange Castle Business Park, Nangor Road, Dublin 22, D22 XR57, Ireland。本变更仅为地址名称的变更，实际地址未发生变化。
2. 延长枸橼酸伊沙佐米胶囊（2.3mg，3mg和4mg）所用原料药枸橼酸伊沙佐米的有效期延长至60个月。
3. 在枸橼酸伊沙佐米胶囊（2.3mg，3mg和4mg）现行说明书中，添加包装厂信息。",2025-11-18,国家药品监督管理局药品审评中心,已备案
国备2025001831,中文：拉考沙胺口服溶液;英文/拉丁文：Lacosamide Oral Solution,国药准字HJ20230096,中文名称：/;英文名称：Hetero Labs Limited,"Unit-III, 22-110, I.D.A., Jeedimetla(V), Quthbullapur(M), Medchal-Malkajgiri(Dist.),500055, Telangana State, India.",中文名称：/;英文名称：Hetero Labs Limited,"Unit-III, 22-110, I.D.A., Jeedimetla(V), Quthbullapur(M), Medchal-Malkajgiri(Dist.),500055, Telangana State, India.",熙德隆药业（北京）有限公司,北京市朝阳区望京东园四区6号楼27层2701号05,境外生产药品注册代理机构由“深圳市贝美药业有限公司”变更为“熙德隆药业（北京）有限公司”。,2025-07-26,国家药品监督管理局药品审评中心,已备案
国备2025001893,中文：23价肺炎球菌多糖疫苗;英文/拉丁文：Pneumococcal Vaccine Polyvalent,国药准字SJ20181013,中文名称：不适用;英文名称：Merck Sharp & Dohme LLC,"126 E. Lincoln Avenue, P.O. Box 2000, Rahway, NJ 07065, US",中文名称：不适用;英文名称：Merck Sharp & Dohme LLC,"770 Sumneytown Pike, West Point, PA19486, US",默沙东研发（中国）有限公司,北京市朝阳区容达路21号楼L2-13层,根据当前药品再注册批准通知书中载明的“上市许可持有人”和“生产企业”的名称和地址，更新进口药品注册标准及制造及检定规程中的相关信息。,2025-08-02,国家药品监督管理局药品审评中心,已备案
